N.º de Registo;Autor;Título;Vol.;Editor;Local de Edição;Data de entrada;Modo de Aquisição;Material Acompanhante;;;estantes;prateleira
1;Armelle Boy;O grande livro de Tom e Léa;;Dom Quixote;Lisboa;30/08/2011;Compra;;;;;
2;Colin Mcnaughton;Era uma vez um dia normal de escola;;Ana Paula Faria - Ed. Unip.;Lisboa;30/08/2011;Compra;;;;;
3;La Fontaine;A lebre e a tartaruga;;Girassol;Sintra;30/08/2011;Compra;;;;;
4;trad. Manula Pessoa;O menino de cor;;Horizonte;Lisboa;30/08/2011;Compra;;;;;
5;Ana Ventura;O bicharoco que era oco;;Pena Azul;Rio de Mouro;30/08/2011;Compra;;;;;
6;David Mckee;Elmer e Alber;;Caminho;Alfragide;30/08/2011;Compra;;;;;
7;Xulio Gutièrrez;Construtores : animais extraordinários;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
8;Pinto & Chinto;Contos para meninos que adormecem logo a seguir;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
9;Ursula Wölfel;27 histórias para comer a sopa;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;para refletir;A
10;Ed. lit. Margarida Noronha e Pedro Proença;Fernando Pessoa : antologia Poética;;Kalandraka;Matosinhos;30/08/2011;Compra;para refletir;D
11;Tim Bowley;Contos do mundo;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;para refletir;A
12;Ed. lit. Carlos Nogueira;Bocage : antologia poética;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;para refletir;D
13;Ed. Lit. Margarida Noronha e Joana Rêgo;Florbela Espanca;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;para refletir;D
14;Org. José Fanha;Poemas da natureza;;Gailivro;Canelas;30/08/2011;Compra;;;;;
15;Pat Hutchins;O passeio da dona Rosa;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;A
16;Werner Holzwarth;A toupeira que queria saber quem lhe fizera aquilo na cabeça;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
17;George Gershwin;Porgy and Bess;;Kalandraka;Lisboa;30/08/2011;Compra;;;;;
18;Gioaccchino Rossini;O barbeiro de Sevilha;;Kalandraka;Lisboa;30/08/2011;Compra;;;;para refletir;A
19;Christoph Willibald Gluck;Orfeu e Eurídice;;Kalandraka;Lisboa;30/08/2011;Compra;;;;;
20;Giacomo Puccini;Turandot;;Kalandraka;Lisboa;30/08/2011;Compra;;;;;
21;Caetano Donizetti;O elixir do amor;;Kalandraka;Lisboa;30/08/2011;Compra;;;;;
22;Giuseppe Verdi;Aida;;Kalandraka;Lisboa;30/08/2011;Compra;;;;;
23;Wolfgang Amadeus Mozart;A fauta mágica;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
24;Caroline Desnoëttes;Descobrir a arte através do mundo;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
25;Caroline Desnoëttes;Olhar a pintura através dos séculos;;Kalandraka;Lisboa;30/08/2011;Compra;;;;;
26;Eric Hill;Os ovos da Páscoa do Bolinha;;Presença;Lisboa;30/08/2011;Compra;;;;;
27;Davide Cali e Serge Bloch;Eu espero…;;Bruaá;[Figueira da Foz];30/08/2011;Compra;;;;Creche;A
28;Jutta Bauer;Quanto a mãe grita;;Ana Paula Faria - Ed. Unip.;Lisboa;30/08/2011;Compra;;;;Creche;E
29;Shaun Tan;A árvore vermelha;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
30;Eric Carle;A joaninha Resmungona;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
31;Iela Mari;O balãozinho vermelho;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;C
32;Luisa Aguilar;Orelhas de borboleta;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;C
33;Luísa Ducla Soares;Os ovos misteriosos;;Afrontamento;Porto;30/08/2011;Compra;;;;;
34;Petr Horácek;O ganso Gastão;;Caminho;Alfragide;30/08/2011;Compra;;;;;
35;Miquel Obiols;O quadro mais bonito do mundo;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Pré-Escolar;B
36;Mandy Areher;Monstros terríveis (mas não muito) : a grande Bagunça;;Dinalivro;Lisboa;30/08/2011;Compra;;;;;
37;Adap. Olalla González;Grão de Milho;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;C
38;Gioanni Rodari;Baralhando histórias;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;D
39;J. e W. Grimm;A casinha de chocolate;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;C
40;B.A.T.A;O patinho feio;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
41;Natalia Colombo;Perto;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;C
42;Josse Goffin;Oh!;;Kalandraka;[Matosinhos];30/08/2011;Compra;;;;;
43;Fernando Krahn;Ildinha e Maximiliano;;Kalandraka;Lisboa;30/08/2011;Compra;;;;Creche;C
44;Leo Lionni;Pequeno azul e pequeno amarelo;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;C
45;Marta Azcona;Um presente diferente;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;C
46;Kiko Dasilva;Moncho e a mancha;;Kalandraka;Lisboa;30/08/2011;Compra;;;;Creche;C
47;Christian Voltz;Eu não fui!;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
48;Xulio Gutiérrez;Bocas : animais extraordinários;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;obras de arte;A
49;Philippe Lechermeier;Princesas : esquecidas ou desconhecidas…;;Educação Nacional;Vila Nova de Gaia;30/08/2011;Compra;;;;obras de arte;D
50;B.A.T.A;Chibos sabichões;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
51;Xulio Gutiérrez;Nascer : animais extraordinários;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;obras de arte;A
52;Eric Carle;Papá, por favor, apanha-me a lua;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;C
